ID,Linear ID,Requirement,Requested By,BizValue,BizRisk,ImplChall,Success,Compliance,Relations,Urgency,Priority Score,Status,Verification,Feature
REQ-F01-01,THE-25,"TOGAF ADM – Alle 9 Phasen navigierbar",Matze Ganzmann,5,4,3,4,3,5,5,82.9,Done,Test,"F01 – TOGAF 10 Framework Integration"
REQ-F01-02,THE-26,"Alle 4 TOGAF-Domänen vollständig abgebildet",Matze Ganzmann,5,3,3,4,3,5,5,80.0,Done,Inspektion,"F01 – TOGAF 10 Framework Integration"
REQ-F01-03,THE-27,"Mind. 6 TOGAF-Viewpoints unterstützt",Matze Ganzmann,4,2,2,5,2,4,4,65.7,Done,Demo,"F01 – TOGAF 10 Framework Integration"
REQ-F02-01,THE-28,"Zero Trust Prinzipien inkl. MFA",Matze Ganzmann,5,5,4,4,5,3,5,88.6,Done,Test,"F02 – Enterprise Security & Multi-User"
REQ-F02-02,THE-29,"RBAC mit granularen Element-Berechtigungen",Matze Ganzmann,5,5,3,4,5,4,5,88.6,Done,Test,"F02 – Enterprise Security & Multi-User"
REQ-F02-03,THE-30,"AI Threat Detection mit Genauigkeitsschwellen",Matze Ganzmann,4,5,4,3,5,2,4,77.1,Done,Analyse,"F02 – Enterprise Security & Multi-User"
REQ-F03-01,THE-31,"ML-basierte Predictive Analytics & Dependency-Erkennung",Matze Ganzmann,5,4,4,4,2,5,4,80.0,Done,Test,"F03 – Advanced Analytics & AI"
REQ-F03-02,THE-32,"ML Risk Prediction & Performance Forecasting",Matze Ganzmann,5,4,4,4,3,4,4,80.0,Done,Analyse,"F03 – Advanced Analytics & AI"
REQ-F04-01,THE-33,"GDPR/SOX/ISO27001 Compliance-Mapping & Audit Trail",Matze Ganzmann,5,5,3,4,5,3,5,85.7,Done,Inspektion,"F04 – Governance & Compliance"
REQ-F04-02,THE-34,"Multi-Level Approval Workflow & Compliance-Reports",Matze Ganzmann,4,3,3,4,5,3,4,74.3,Done,Demo,"F04 – Governance & Compliance"
REQ-F05-01,THE-35,"Rollenbasierte Stakeholder-Dashboards",Matze Ganzmann,5,3,3,4,2,4,5,74.3,Done,Demo,"F05 – Collaboration & Stakeholder Management"
REQ-F05-02,THE-36,"Git-like Versionierung & Change-Request-Prozess",Matze Ganzmann,5,4,3,4,3,5,4,80.0,Done,Test,"F05 – Collaboration & Stakeholder Management"
REQ-F06-01,THE-37,"ERP/CRM-Integration (SAP, Salesforce, Oracle, MS Dynamics)",Matze Ganzmann,4,3,5,3,3,4,3,71.4,Done,Test,"F06 – Enterprise Integration & Ecosystem"
REQ-F06-02,THE-38,"Multi-Cloud Integration (AWS, Azure, GCP) mit Cost Analysis",Matze Ganzmann,4,3,4,4,2,3,3,65.7,Done,Demo,"F06 – Enterprise Integration & Ecosystem"
REQ-F07-01,THE-39,"Simultane Echtzeit-Kollaboration mit Live-Cursor",Matze Ganzmann,5,4,4,4,2,5,4,80.0,Done,Test,"F07 – Real-Time Collaboration"
REQ-F07-02,THE-40,"Automatische Reconnection ohne Datenverlust",Matze Ganzmann,4,4,3,4,2,3,4,68.6,Done,Test,"F07 – Real-Time Collaboration"
REQ-F08-01,THE-41,"X-Ray – 3 Sub-Views per Knopfdruck umschaltbar",Matze Ganzmann,5,4,3,4,2,4,5,77.1,Done,Test,"F08 – Transformation X-Ray"
REQ-F08-02,THE-42,"Cost Gravity – Farbcodierung & Monte-Carlo-Ebenen",Matze Ganzmann,5,3,4,4,2,3,5,74.3,Done,Inspektion,"F08 – Transformation X-Ray"
REQ-F09-01,THE-43,"Mind. 5 Workspaces mit Shared-Element-Erkennung",Matze Ganzmann,4,3,4,4,2,5,4,74.3,Done,Test,"F09 – Multi-Architecture Workspace"
REQ-F09-02,THE-44,"Workspace-Navigation via Tastatur, Tab-Bar, Minimap",Matze Ganzmann,4,2,3,4,1,4,3,60.0,Done,Test,"F09 – Multi-Architecture Workspace"
REQ-F10-01,THE-45,"MiroFish Core Engine – Fatigue-Index & Emergence-Tracking",Matze Ganzmann,5,4,5,3,2,4,4,77.1,Done,Test,"F10 – MiroFish Multi-Agent Simulation"
REQ-F10-02,THE-46,"MiroFish – 4 Guardrails implementiert",Matze Ganzmann,5,5,4,4,3,4,4,82.9,Done,Inspektion,"F10 – MiroFish Multi-Agent Simulation"
REQ-F11-01,THE-47,"Architecture Health Score (0-100)",Matze Ganzmann,5,4,4,4,4,5,5,88.6,Done,Analyse,"F11 – AI Architecture Advisor"
REQ-F11-02,THE-48,"Proaktive Anti-Pattern-Erkennung & 1-Klick-Remediation",Matze Ganzmann,5,5,4,4,4,4,5,88.6,Done,Demo,"F11 – AI Architecture Advisor"
REQ-F12-01,THE-49,"Kahn-Sort Sequenzierung mit Monte Carlo P10/P50/P90",Matze Ganzmann,5,4,5,4,2,5,5,85.7,Done,Analyse,"F12 – Transformation Roadmap Generator"
REQ-F12-02,THE-50,"TOGAF Gap-Analysis Pre-Step",Matze Ganzmann,4,3,3,4,3,5,4,74.3,Done,Demo,"F12 – Transformation Roadmap Generator"
REQ-F13-01,THE-51,"Bayes'sche Kaskadenrisiko-Propagation",Matze Ganzmann,4,4,5,3,3,4,3,74.3,In Review,Analyse,"F13 – Stochastic Engine (Kolmogorov-Axiome)"
REQ-F13-02,THE-52,"K-S Drift Detection für Langzeit- & Wave-Vergleiche",Matze Ganzmann,4,4,5,3,2,3,3,68.6,In Review,Test,"F13 – Stochastic Engine (Kolmogorov-Axiome)"
REQ-F14-01,THE-53,"CSV-Import mit Elements- & Connections-Format",Matze Ganzmann,4,3,3,4,1,4,3,62.9,In Review,Test,"F14 – CSV Import & Self-Architecture"
REQ-F15-01,THE-54,"3 View-Modi (3D/2D/Layer) im selben Canvas",Matze Ganzmann,4,3,4,4,1,3,4,65.7,In Review,Test,"F15 – View Mode Buttons (3D / 2D / Layer)"
REQ-F16-01,THE-55,"Task-Completion-Rate ≥85% ohne Einweisung",Matze Ganzmann,4,3,4,3,1,3,4,62.9,Backlog,Test,"F16 – UI & Usability Improvements"
REQ-F17-01,THE-56,"Logo-Erkennung ≥50 Apps auf 3D-Objekten",Matze Ganzmann,3,1,3,4,1,2,2,45.7,Backlog,Inspektion,"F17 – Application Logo Badges"
REQ-F18-01,THE-57,"Sparx EA / Abacus / Jira / ServiceNow Schnittstellen",Matze Ganzmann,5,5,5,3,3,4,4,82.9,Backlog,Test,"F18 – Externe Tool-Schnittstellen"
REQ-F19-01,THE-58,"LOD-System – Aggregation ab ≥50 Elementen",Matze Ganzmann,4,3,4,3,1,3,3,60.0,Backlog,Demo,"F19 – Adaptive Zoom / Level of Detail"
REQ-F20-01,THE-59,"Modulare Openclaw/Nemoclaw-Integration",Matze Ganzmann,3,2,4,3,1,2,2,48.6,Backlog,Inspektion,"F20 – Openclaw / Nemoclaw Integration"
